"di_id","Year","P20population"
"EG",1986,
"EG",1987,703736
"EG",1988,
"EG",1989,
"EG",1990,449247
"EG",1991,
"EG",1992,
"EG",1993,461641
"EG",1994,
"EG",1995,
"EG",1996,667445
"EG",1997,
"EG",1998,
"EG",1999,556679
"EG",2000,
"EG",2001,
"EG",2002,1064648
"EG",2003,
"EG",2004,
"EG",2005,2944097
"EG",2006,
"EG",2007,
"EG",2008,4284419
"EG",2009,
"EG",2010,5092565
"EG",2011,6157032
"EG",2012,6265183
"EG",2013,7584426
"EG",2014,
"EG",2015,7243939
"EG",2016,
"EG",2017,
"SV",1981,425225
"SV",1982,
"SV",1983,
"SV",1984,555020
"SV",1985,
"SV",1986,
"SV",1987,642866
"SV",1988,
"SV",1989,
"SV",1990,625318
"SV",1991,
"SV",1992,
"SV",1993,592538
"SV",1994,
"SV",1995,
"SV",1996,597949
"SV",1997,
"SV",1998,
"SV",1999,773685
"SV",2000,
"SV",2001,
"SV",2002,687169
"SV",2003,
"SV",2004,
"SV",2005,606961
"SV",2006,
"SV",2007,
"SV",2008,477751
"SV",2009,
"SV",2010,464203
"SV",2011,482224
"SV",2012,449032
"SV",2013,429691
"SV",2014,
"SV",2015,391259
"SV",2016,
"SV",2017,
"EE",1981,4050
"EE",1982,
"EE",1983,
"EE",1984,4598
"EE",1985,
"EE",1986,
"EE",1987,5412
"EE",1988,
"EE",1989,
"EE",1990,4989
"EE",1991,
"EE",1992,
"EE",1993,9208
"EE",1994,
"EE",1995,
"EE",1996,2140
"EE",1997,
"EE",1998,
"EE",1999,5349
"EE",2000,
"EE",2001,
"EE",2002,10974
"EE",2003,
"EE",2004,
"EE",2005,10057
"EE",2006,
"EE",2007,
"EE",2008,6590
"EE",2009,
"EE",2010,13299
"EE",2011,13213
"EE",2012,13127
"EE",2013,15638
"EE",2014,
"EE",2015,9750
"EE",2016,
"EE",2017,
"SZ",1981,480258
"SZ",1982,
"SZ",1983,
"SZ",1984,557782
"SZ",1985,
"SZ",1986,
"SZ",1987,613519
"SZ",1988,
"SZ",1989,
"SZ",1990,617430
"SZ",1991,
"SZ",1992,
"SZ",1993,671011
"SZ",1994,
"SZ",1995,
"SZ",1996,565319
