"di_id","Year","Poorpop","Poorpop.Interp","P20population"
"BZ",2012,46862.3145408,46862.3145408,62252.2438488
"BZ",2013,47903.3869248,47903.3869248,67854.5269518
"BZ",2014,,48825.7945276,
"BZ",2015,49748.2021304,49748.2021304,74076.0596848
"BZ",2016,,49748.2021304,
"BZ",2017,,49748.2021304,
"BJ",1981,2196827.638512,2196827.638512,727717.9574496
"BJ",1982,,2281909.9887513,
"BJ",1983,,2366992.3389906,
"BJ",1984,2452074.6892299,2452074.6892299,1262479.5532651
"BJ",1985,,2533502.93796737,
"BJ",1986,,2614931.18670483,
"BJ",1987,2696359.4354423,2696359.4354423,1681794.7978169
"BJ",1988,,2789138.179833,
"BJ",1989,,2881916.9242237,
"BJ",1990,2974695.6686144,2974695.6686144,1831704.6773568
"BJ",1991,,3059317.45297377,
"BJ",1992,,3143939.23733313,
"BJ",1993,3228561.0216925,3228561.0216925,2091352.2753136
"BJ",1994,,3316303.5397858,
"BJ",1995,,3404046.0578791,
"BJ",1996,3491788.5759724,3491788.5759724,2620118.1792398
"BJ",1997,,3518810.44464847,
"BJ",1998,,3545832.31332453,
"BJ",1999,3572854.1820006,3572854.1820006,2683936.1474688
"BJ",2000,,3575657.105873,
"BJ",2001,,3578460.0297454,
"BJ",2002,3581262.9536178,3581262.9536178,2935594.3211994
"BJ",2003,,3729604.8254552,
"BJ",2004,,3877946.6972926,
"BJ",2005,4026288.56913,4026288.56913,3919126.4002825
"BJ",2006,,4125883.043712,
"BJ",2007,,4225477.518294,
"BJ",2008,4325071.992876,4325071.992876,4582072.8182088
"BJ",2009,,4566858.46834455,
"BJ",2010,4808644.9438131,4808644.9438131,5432920.4584416
"BJ",2011,5019120.0789548,5019120.0789548,5966604.2619716
"BJ",2012,5104094.406712,5104094.406712,6254025.6625
"BJ",2013,5148847.7325207,5148847.7325207,6613485.3526893
"BJ",2014,,5194810.04297955,
"BJ",2015,5240772.3534384,5240772.3534384,7140655.407432
"BJ",2016,,5240772.3534384,
"BJ",2017,,5240772.3534384,
"BT",1981,327695.836702,327695.836702,198329.987212
"BT",1982,,328529.224606667,
"BT",1983,,329362.612511333,
"BT",1984,330196.000416,330196.000416,230925.875664
"BT",1985,,318403.615831867,
"BT",1986,,306611.231247733,
"BT",1987,294818.8466636,294818.8466636,195441.1163733
"BT",1988,,287185.481509067,
"BT",1989,,279552.116354533,
"BT",1990,271918.7512,271918.7512,158034.142272
"BT",1991,,259903.443319867,
"BT",1992,,247888.135439733,
"BT",1993,235872.8275596,235872.8275596,139272.1591184
"BT",1994,,219373.182655,
"BT",1995,,202873.5377504,
"BT",1996,186373.8928458,186373.8928458,121213.7643474
"BT",1997,,176613.960643933,
"BT",1998,,166854.028442067,
"BT",1999,157094.0962402,157094.0962402,103243.8613395
"BT",2000,,152676.153625467,
"BT",2001,,148258.211010733,
"BT",2002,143840.268396,143840.268396,102751.2179151
"BT",2003,,118180.409011133,
"BT",2004,,92520.5496262667,
"BT",2005,66860.6902414,66860.6902414,61878.10037662
"BT",2006,,68156.8356742667,
"BT",2007,,69452.9811071333,
"BT",2008,70749.12654,70749.12654,80324.80449
"BT",2009,,51148.69958286,
"BT",2010,31548.27262572,31548.27262572,50212.25699931
"BT",2011,21453.9446435,21453.9446435,43961.1536855
"BT",2012,16340.35522743,16340.35522743,42122.18625687
"BT",2013,13232.34892527,13232.34892527,41334.02506776
"BT",2014,,13138.561195305,
"BT",2015,13044.77346534,13044.77346534,52645.06889616
"BT",2016,,13044.77346534,
"BT",2017,,13044.77346534,
"BO",1981,289877.98536349,289877.98536349,0
"BO",1982,,372908.185719207,
"BO",1983,,455938.386074923,
"BO",1984,538968.58643064,538968.58643064,20516.683812872
"BO",1985,,517354.40121136,
"BO",1986,,495740.21599208,
"BO",1987,474126.0307728,474126.0307728,39539.930024464
"BO",1988,,483135.354284453,
"BO",1989,,492144.677796107,
"BO",1990,501154.00130776,501154.00130776,36897.329598104
"BO",1991,,619727.590726007,
"BO",1992,,738301.180144253,
